observation_date,NEWORDER
1992-02-01,33857
1992-03-01,35258
1992-04-01,35992
1992-05-01,36811
1992-06-01,36666
1992-07-01,36629
1992-08-01,36131
1992-09-01,37629
1992-10-01,36668
1992-11-01,37573
1992-12-01,38374
1993-01-01,37041
1993-02-01,36962
1993-03-01,36895
1993-04-01,37729
1993-05-01,37869
1993-06-01,38381
1993-07-01,38915
1993-08-01,39309
1993-09-01,39307
1993-10-01,40550
1993-11-01,40301
1993-12-01,43296
1994-01-01,39801
1994-02-01,41736
1994-03-01,41245
1994-04-01,42992
1994-05-01,42849
1994-06-01,44555
1994-07-01,44016
1994-08-01,44406
1994-09-01,44507
1994-10-01,45959
1994-11-01,45942
1994-12-01,46186
1995-01-01,47317
1995-02-01,46200
1995-03-01,46095
1995-04-01,46776
1995-05-01,48401
1995-06-01,47970
1995-07-01,45962
1995-08-01,47502
1995-09-01,49431
1995-10-01,50283
1995-11-01,49798
1995-12-01,51221
1996-01-01,47931
1996-02-01,49183
1996-03-01,49780
1996-04-01,48102
1996-05-01,50505
1996-06-01,51556
1996-07-01,51047
1996-08-01,50780
1996-09-01,49824
1996-10-01,52556
1996-11-01,52664
1996-12-01,50765
1997-01-01,51958
1997-02-01,54285
1997-03-01,54195
1997-04-01,55044
1997-05-01,53924
1997-06-01,55972
1997-07-01,58969
1997-08-01,58232
1997-09-01,60143
1997-10-01,57582
1997-11-01,57967
1997-12-01,58401
1998-01-01,56811
1998-02-01,59362
1998-03-01,57672
1998-04-01,55909
1998-05-01,58575
1998-06-01,59020
1998-07-01,56670
1998-08-01,57658
1998-09-01,60257
1998-10-01,56319
1998-11-01,58162
1998-12-01,60818
1999-01-01,57160
1999-02-01,58576
1999-03-01,59657
1999-04-01,58929
1999-05-01,59814
1999-06-01,59045
1999-07-01,62074
1999-08-01,61732
1999-09-01,63231
1999-10-01,61451
1999-11-01,61849
1999-12-01,65451
2000-01-01,63975
2000-02-01,58497
2000-03-01,63642
2000-04-01,64414
2000-05-01,63753
2000-06-01,68292
2000-07-01,63581
2000-08-01,64759
2000-09-01,66733
2000-10-01,63580
2000-11-01,62569
2000-12-01,62554
2001-01-01,60808
2001-02-01,60697
2001-03-01,58146
2001-04-01,54841
2001-05-01,56599
2001-06-01,55428
2001-07-01,53436
2001-08-01,54169
2001-09-01,50735
2001-10-01,49736
2001-11-01,51335
2001-12-01,51290
2002-01-01,47643
2002-02-01,50422
2002-03-01,47371
2002-04-01,49964
2002-05-01,50680
2002-06-01,48847
2002-07-01,49531
2002-08-01,51112
2002-09-01,48089
2002-10-01,49106
2002-11-01,49620
2002-12-01,48744
2003-01-01,48896
2003-02-01,49128
2003-03-01,51757
2003-04-01,49199
2003-05-01,50849
2003-06-01,49941
2003-07-01,49408
2003-08-01,50447
2003-09-01,51971
2003-10-01,51088
2003-11-01,52318
2003-12-01,53325
2004-01-01,50190
2004-02-01,51210
2004-03-01,54995
2004-04-01,52065
2004-05-01,52405
2004-06-01,53213
2004-07-01,53699
2004-08-01,51950
2004-09-01,56227
2004-10-01,53948
2004-11-01,55318
2004-12-01,56631
2005-01-01,57884
2005-02-01,57580
2005-03-01,56576
2005-04-01,58138
2005-05-01,57105
2005-06-01,58903
2005-07-01,57606
2005-08-01,60352
2005-09-01,58344
2005-10-01,59751
2005-11-01,60459
2005-12-01,61271
2006-01-01,62469
2006-02-01,62592
2006-03-01,65096
2006-04-01,63272
2006-05-01,64145
2006-06-01,63601
2006-07-01,63922
2006-08-01,64379
2006-09-01,66981
2006-10-01,66492
2006-11-01,66484
2006-12-01,65935
2007-01-01,64155
2007-02-01,63735
2007-03-01,66936
2007-04-01,66118
2007-05-01,64975
2007-06-01,64874
2007-07-01,64902
2007-08-01,66265
2007-09-01,65393
2007-10-01,64974
2007-11-01,65466
2007-12-01,68096
2008-01-01,68408
2008-02-01,66568
2008-03-01,66526
2008-04-01,69373
2008-05-01,68443
2008-06-01,67754
2008-07-01,67856
2008-08-01,66142
2008-09-01,63854
